PMT_ID,CircleNo,PositionNo,UpOrDown(0=Up 1=Down),PMTType,Channel(0-2),X,Y,Z,Theta,Phi,GCU,BECID,RMU_ID,RMU_2nd
0,62,1,0,1,2,-920.361,-110.603,19365.0,2.7406,-173.1474,1925,19.0,5,5.0-1.0
1,62,2,0,2,2,-487.363,-788.527,19365.0,2.7406,-121.7189,1748,19.0,5,5.0-1.0
2,62,3,0,1,2,312.6295,-872.675,19365.0,2.7406,-70.2903,1938,19.0,5,5.0-1.0
3,62,4,0,1,2,877.2058,-299.68,19365.0,2.7406,-18.8617,2046,19.0,5,5.0-1.0
4,62,5,0,1,2,781.2283,498.9796,19365.0,2.7406,32.5668,1950,169.0,1,1.0-1.0
5,62,6,0,2,2,96.9699,921.8975,19365.0,2.7406,83.9954,1976,169.0,1,1.0-1.0
6,62,7,0,1,2,-660.309,650.6079,19365.0,2.7406,135.424,2052,169.0,1,1.0-1.0
7,61,1,0,1,0,-1288.78,-507.21,19365.0,4.0909,-158.5175,1925,19.0,5,5.0-1.0
8,61,2,0,2,1,-1001.88,-956.329,19365.0,4.091,-136.3325,1748,19.0,5,5.0-1.0
9,61,3,0,1,0,-406.988,-1323.85,19365.0,4.0909,-107.0889,1748,19.0,5,5.0-1.0
10,61,4,0,2,1,123.0261,-1379.56,19365.0,4.091,-84.904,1938,19.0,5,5.0-1.0
11,61,5,0,1,0,781.2737,-1143.6,19365.0,4.0909,-55.6603,1938,19.0,5,5.0-1.0
12,61,6,0,2,1,1155.291,-763.958,19365.0,4.091,-33.4754,2046,19.0,5,5.0-1.0
13,61,7,0,1,0,1381.221,-102.2,19365.0,4.0909,-4.2317,2046,19.0,5,5.0-1.0
14,61,8,0,2,1,1317.598,426.9231,19365.0,4.091,17.9532,1950,169.0,1,1.0-1.0
15,61,9,0,1,0,941.0805,1016.161,19365.0,4.0909,47.1968,1950,169.0,1,1.0-1.0
16,61,10,0,2,1,487.7271,1296.322,19365.0,4.091,69.3817,1976,169.0,1,1.0-1.0
17,61,11,0,1,0,-207.713,1369.332,19365.0,4.0909,98.6254,1976,169.0,1,1.0-1.0
18,61,12,0,2,1,-709.412,1189.564,19365.0,4.091,120.8103,2052,169.0,1,1.0-1.0
19,61,13,0,1,0,-1200.09,691.3685,19365.0,4.0909,150.0539,2052,169.0,1,1.0-1.0
20,61,14,0,1,1,-1372.35,187.04,19365.0,4.091,172.2389,1925,19.0,5,5.0-1.0
21,60,1,0,2,2,-1899.45,-328.712,19338.16,5.6926,-170.1818,5999,45.0,5,5.0-3.0
22,60,2,0,2,1,-1729.9,-850.533,19338.16,5.6926,-153.8182,5999,45.0,5,5.0-3.0
23,60,3,0,2,0,-1420.2,-1303.45,19338.16,5.6926,-137.4545,5999,45.0,5,5.0-3.0
24,60,4,0,2,0,-800.787,-1753.48,19338.16,5.6926,-114.5454,7323,45.0,5,5.0-3.0
25,60,5,0,2,1,-274.338,-1908.06,19338.16,5.6926,-98.1818,7323,45.0,5,5.0-3.0
26,60,6,0,2,2,274.3375,-1908.06,19338.16,5.6926,-81.8182,7323,45.0,5,5.0-3.0
27,60,7,0,2,2,800.7874,-1753.48,19338.16,5.6926,-65.4545,2964,45.0,5,5.0-3.0
28,60,8,0,2,1,1420.202,-1303.45,19338.16,5.6926,-42.5455,2964,45.0,5,5.0-3.0
29,60,9,0,2,0,1729.898,-850.533,19338.16,5.6926,-26.1818,2964,45.0,5,5.0-3.0
30,60,10,0,2,0,1899.448,-328.712,19338.16,5.6926,-9.8182,2370,146.0,3,3.0-3.0
31,60,11,0,2,1,1915.116,219.739,19338.16,5.6926,6.5455,2370,146.0,3,3.0-3.0
32,60,12,0,2,2,1678.52,947.9041,19338.16,5.6926,29.4546,2370,146.0,3,3.0-3.0
33,60,13,0,2,2,1343.473,1382.401,19338.16,5.6926,45.8182,3208,146.0,3,3.0-3.0
34,60,14,0,2,1,899.5856,1704.904,19338.16,5.6926,62.1818,3208,146.0,3,3.0-3.0
35,60,15,0,2,0,382.8191,1889.286,19338.16,5.6926,78.5455,3208,146.0,3,3.0-3.0
36,60,16,0,2,1,-382.819,1889.286,19338.16,5.6926,101.4545,5506,146.0,3,3.0-3.0
37,60,17,0,2,0,-899.586,1704.904,19338.16,5.6926,117.8182,5506,146.0,3,3.0-3.0
38,60,18,0,2,0,-1343.47,1382.401,19338.16,5.6926,134.1818,3190,146.0,3,3.0-3.0
39,60,19,0,2,1,-1678.52,947.9042,19338.16,5.6926,150.5454,3190,146.0,3,3.0-3.0
40,60,20,0,1,2,-1915.12,219.739,19338.16,5.6926,173.4546,3190,146.0,3,3.0-3.0
41,59,1,0,1,0,-2457.26,0.0,19278.02,7.264,180.0,6428,45.0,5,5.0-3.0
